2026-05-26 11:46:30.374 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] TDE|04 | [R] (sin datos) | [E] La consola no respondio dentro del tiempo esperado. | [I] System.OperationCanceledException: The operation was canceled. |    at System.Threading.CancellationToken.ThrowOperationCanceledException() |    at System.Threading.CancellationToken.ThrowIfCancellationRequested() |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken) |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token) |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 148 |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 155 |    at LoadManager.Services.GasStationConsoleClient.SendConfiguredCommandAsync(String commandName, IReadOnlyDictionary`2 replacements, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 84
2026-05-26 12:20:51.259 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] P-STATUS|01 | [R] (sin datos) | [E] La consola no respondio dentro del tiempo esperado. | [I] System.OperationCanceledException: The operation was canceled. |    at System.Threading.CancellationToken.ThrowOperationCanceledException() |    at System.Threading.CancellationToken.ThrowIfCancellationRequested() |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken) |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token) |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 161 |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 168 |    at LoadManager.Services.GasStationConsoleClient.SendConfiguredCommandAsync(String commandName, IReadOnlyDictionary`2 replacements, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 97
2026-05-26 12:21:01.307 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] P-STATUS|02 | [R] (sin datos) | [E] La consola no respondio dentro del tiempo esperado. | [I] System.OperationCanceledException: The operation was canceled. |    at System.Threading.CancellationToken.ThrowOperationCanceledException() |    at System.Threading.CancellationToken.ThrowIfCancellationRequested() |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken) |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token) |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 161 |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 168 |    at LoadManager.Services.GasStationConsoleClient.SendConfiguredCommandAsync(String commandName, IReadOnlyDictionary`2 replacements, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 97
2026-05-26 12:25:46.357 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] P-STATUS|01 | [R] (sin datos) | [E] La consola no respondio dentro del tiempo esperado. | [I] System.OperationCanceledException: The operation was canceled. |    at System.Threading.CancellationToken.ThrowOperationCanceledException() |    at System.Threading.CancellationToken.ThrowIfCancellationRequested() |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken) |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token) |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 161 |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 168 |    at LoadManager.Services.GasStationConsoleClient.SendConfiguredCommandAsync(String commandName, IReadOnlyDictionary`2 replacements, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 97
2026-05-26 12:25:56.414 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] P-STATUS|02 | [R] (sin datos) | [E] La consola no respondio dentro del tiempo esperado. | [I] System.OperationCanceledException: The operation was canceled. |    at System.Threading.CancellationToken.ThrowOperationCanceledException() |    at System.Threading.CancellationToken.ThrowIfCancellationRequested() |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken) |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token) |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 161 |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 168 |    at LoadManager.Services.GasStationConsoleClient.SendConfiguredCommandAsync(String commandName, IReadOnlyDictionary`2 replacements, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 97
2026-05-26 12:41:41.128 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] (sin datos) | [E] La consola no respondio dentro del tiempo esperado. | [I] System.OperationCanceledException: The operation was canceled. |    at System.Threading.CancellationToken.ThrowOperationCanceledException() |    at System.Threading.CancellationToken.ThrowIfCancellationRequested() |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken) |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token) |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 167 |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 174 |    at LoadManager.Services.GasStationConsoleClient.SendConfiguredCommandAsync(String commandName, IReadOnlyDictionary`2 replacements, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 103
2026-05-26 12:41:56.188 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] (sin datos) | [E] La consola no respondio dentro del tiempo esperado. | [I] System.OperationCanceledException: The operation was canceled. |    at System.Threading.CancellationToken.ThrowOperationCanceledException() |    at System.Threading.CancellationToken.ThrowIfCancellationRequested() |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken) |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token) |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 167 |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 174 |    at LoadManager.Services.GasStationConsoleClient.SendConfiguredCommandAsync(String commandName, IReadOnlyDictionary`2 replacements, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 103
2026-05-26 12:42:06.238 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] (sin datos) | [E] La consola no respondio dentro del tiempo esperado. | [I] System.OperationCanceledException: The operation was canceled. |    at System.Threading.CancellationToken.ThrowOperationCanceledException() |    at System.Threading.CancellationToken.ThrowIfCancellationRequested() |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken) |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token) |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 167 |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 174 |    at LoadManager.Services.GasStationConsoleClient.SendConfiguredCommandAsync(String commandName, IReadOnlyDictionary`2 replacements, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 103
2026-05-26 12:42:16.289 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] (sin datos) | [E] La consola no respondio dentro del tiempo esperado. | [I] System.OperationCanceledException: The operation was canceled. |    at System.Threading.CancellationToken.ThrowOperationCanceledException() |    at System.Threading.CancellationToken.ThrowIfCancellationRequested() |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken) |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token) |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 167 |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 174 |    at LoadManager.Services.GasStationConsoleClient.SendConfiguredCommandAsync(String commandName, IReadOnlyDictionary`2 replacements, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 103
2026-05-26 12:43:46.501 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] (sin datos) | [E] La consola no respondio dentro del tiempo esperado. | [I] System.OperationCanceledException: The operation was canceled. |    at System.Threading.CancellationToken.ThrowOperationCanceledException() |    at System.Threading.CancellationToken.ThrowIfCancellationRequested() |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken) |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token) |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 167 |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 174 |    at LoadManager.Services.GasStationConsoleClient.SendConfiguredCommandAsync(String commandName, IReadOnlyDictionary`2 replacements, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 103
2026-05-26 15:40:38.971 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] (sin datos) | [E] La consola no respondio dentro del tiempo esperado. | [I] System.OperationCanceledException: The operation was canceled. |    at System.Threading.CancellationToken.ThrowOperationCanceledException() |    at System.Threading.CancellationToken.ThrowIfCancellationRequested() |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken) |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token) |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 167 |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 174 |    at LoadManager.Services.GasStationConsoleClient.SendConfiguredCommandAsync(String commandName, IReadOnlyDictionary`2 replacements, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 103
2026-05-26 15:40:54.076 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] (sin datos) | [E] La consola no respondio dentro del tiempo esperado. | [I] System.OperationCanceledException: The operation was canceled. |    at System.Threading.CancellationToken.ThrowOperationCanceledException() |    at System.Threading.CancellationToken.ThrowIfCancellationRequested() |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken) |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token) |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 167 |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 174 |    at LoadManager.Services.GasStationConsoleClient.SendConfiguredCommandAsync(String commandName, IReadOnlyDictionary`2 replacements, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 103
2026-05-26 15:41:04.144 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] (sin datos) | [E] La consola no respondio dentro del tiempo esperado. | [I] System.OperationCanceledException: The operation was canceled. |    at System.Threading.CancellationToken.ThrowOperationCanceledException() |    at System.Threading.CancellationToken.ThrowIfCancellationRequested() |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.ThrowException(SocketError error, CancellationToken cancellationToken) |    at System.Net.Sockets.Socket.AwaitableSocketAsyncEventArgs.System.Threading.Tasks.Sources.IValueTaskSource<System.Int32>.GetResult(Int16 token) |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 167 |    at LoadManager.Services.GasStationConsoleClient.SendFrameAsync(GasStationConsoleOptions options, String requestFrame, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 174 |    at LoadManager.Services.GasStationConsoleClient.SendConfiguredCommandAsync(String commandName, IReadOnlyDictionary`2 replacements, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationConsoleClient.cs:line 103
