2026-05-26 11:43:01.804 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] GetVersion | [R] Version: 3.0.0.2 | [S] La consola respondio correctamente.
2026-05-26 11:46:17.397 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] GetVersion | [R] Version: 3.0.0.2 | [S] La consola respondio correctamente.
2026-05-26 11:47:21.095 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] GetVersion | [R] Version: 3.0.0.2 | [S] La consola respondio correctamente.
2026-05-26 12:06:15.388 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] GetVersion | [R] Version: 3.0.0.2 | [S] La consola respondio correctamente.
2026-05-26 12:06:16.217 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] TDE|01 | [R] RTDE|1-2-1-9786.70-932.940-21316.37-21316.37-0| | [S] La consola respondio correctamente.
2026-05-26 12:06:18.660 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] TDE|02 | [R] RTDE|2-2-1-10.01-0.460-4.60-4.60-376163| | [S] La consola respondio correctamente.
2026-05-26 12:07:59.397 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] TDE|01 | [R] RTDE|1-2-1-9786.70-932.940-21316.37-21316.37-0| | [S] La consola respondio correctamente.
2026-05-26 12:08:04.058 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] TDE|01 | [R] RTDE|1-2-1-9786.70-932.940-21316.37-21316.37-0| | [S] La consola respondio correctamente.
2026-05-26 12:08:06.490 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] TDE|01 | [R] RTDE|1-2-1-9786.70-932.940-21316.37-21316.37-0| | [S] La consola respondio correctamente.
2026-05-26 12:08:08.941 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] TDE|01 | [R] RTDE|1-2-1-9786.70-932.940-21316.37-21316.37-0| | [S] La consola respondio correctamente.
2026-05-26 12:08:13.507 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] TDE|01 | [R] RTDE|1-2-1-9786.70-932.940-21316.37-21316.37-0| | [S] La consola respondio correctamente.
2026-05-26 12:20:41.134 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] GetVersion | [R] Version: 3.0.0.2 | [S] La consola respondio correctamente.
2026-05-26 12:25:36.248 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] GetVersion | [R] Version: 3.0.0.2 | [S] La consola respondio correctamente.
2026-05-26 12:34:42.414 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] GetVersion | [R] Version: 3.0.0.2 | [S] La consola respondio correctamente.
2026-05-26 12:34:44.356 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:34:51.018 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:34:55.601 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:35:00.167 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:35:06.724 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:35:11.502 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:35:16.073 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:35:20.751 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:35:25.330 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:35:29.988 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:35:36.665 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:35:41.538 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:35:46.118 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:35:50.707 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:35:55.398 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:36:00.076 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
2026-05-26 12:36:06.766 [DBG] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] SDI|1 | [R] RSDI|1-2|2-2| | [S] La consola respondio correctamente.
